Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Afghanistan,South Asia,2.56690001487732,0.031311426311731,2.62827038764954,2.5055296421051,7.46286058425903,0.470366954803467,52.5900001525879,0.396573007106781,-0.096429400146008,0.933686554431915,1.97231674194336,0.300705850124359,0.356433838605881,0.266051530838013,0,0.135234713554382,0.00122578535229,1.50723564624786
Bangladesh,South Asia,4.83279991149902,0.040124192833901,4.91144323348999,4.75415658950806,8.28706359863281,0.687292993068695,64.5030670166016,0.900624990463257,-0.033664725720883,0.661843538284302,1.97231674194336,0.556156277656555,0.868800580501556,0.694940507411957,0.604130566120148,0.176745116710663,0.176735907793045,1.75526189804077
Cambodia,Southeast Asia,4.8484001159668,0.058006871491671,4.96209335327148,4.73470687866211,8.24989032745361,0.77308064699173,61.5299682617188,0.959704637527466,0.051911178976297,0.822769045829773,1.97231674194336,0.544634938240051,1.07142603397369,0.587904334068298,0.674940347671509,0.233342081308365,0.072837501764298,1.66330003738403
China,East Asia,5.12389993667603,0.025901664048433,5.17466735839844,5.07313251495361,9.68856811523438,0.79876059293747,69.289192199707,0.898517906665802,-0.181425750255585,0.753971099853516,1.97231674194336,0.990533411502838,1.13208067417145,0.86724853515625,0.601605117321014,0.079021044075489,0.117255553603172,1.33618187904358
Hong Kong S.A.R. of China,East Asia,5.51039981842041,0.046019028872252,5.60059690475464,5.42020273208618,10.9346714019775,0.845969080924988,76.7717056274414,0.779833793640137,0.134979903697968,0.420607209205627,1.97231674194336,1.37674605846405,1.24358427524567,1.13663065433502,0.459356516599655,0.28828090429306,0.332485437393188,0.673293113708496
India,South Asia,3.57329988479614,0.027702234685421,3.62759637832642,3.51900339126587,8.84982395172119,0.592200934886932,60.2151870727539,0.881444871425629,0.057551607489586,0.772042691707611,1.97231674194336,0.730576157569885,0.644198656082153,0.540570139884949,0.581142246723175,0.237072482705116,0.105587981641293,0.734130859375
Indonesia,Southeast Asia,5.28560018539429,0.047692380845547,5.3790774345398,5.19212293624878,9.36975193023682,0.808379888534546,62.1558494567871,0.870614409446716,0.519586503505707,0.876296401023865,1.97231674194336,0.891720712184906,1.15480089187622,0.610437035560608,0.568161427974701,0.542646527290344,0.038278613239527,1.47957348823547
Japan,East Asia,5.87080001831055,0.041391666978598,5.95192766189575,5.78967237472534,10.5796890258789,0.883545935153961,75.0009689331055,0.809961378574371,-0.246910348534584,0.654558062553406,1.97231674194336,1.26672410964966,1.33233869075775,1.07288134098053,0.495465874671936,0.035711780190468,0.181439638137817,1.4862003326416
Laos,Southeast Asia,4.88859987258911,0.040268614888191,4.96752643585205,4.80967330932617,8.79858016967773,0.737502217292786,58.7099227905273,0.907213568687439,0.111371479928494,0.634679317474365,1.97231674194336,0.71469384431839,0.987391889095306,0.486378282308579,0.612027287483215,0.272667109966278,0.194273963570595,1.62115263938904
Malaysia,Southeast Asia,5.38430023193359,0.048802696168423,5.47995328903198,5.28864717483521,10.2625188827515,0.816509425640106,67.1021575927734,0.89462685585022,0.114726796746254,0.83930230140686,1.97231674194336,1.168421626091,1.17400228977203,0.788511872291565,0.596941530704498,0.274886161088943,0.062163133174181,1.31942081451416
Maldives,South Asia,5.1975998878479,0.071985401213169,5.33869123458862,5.05650854110718,9.51863288879395,0.913160920143127,70.5999984741211,0.853962779045105,0.038085497915745,0.824211061000824,1.97231674194336,0.937864303588867,1.40228760242462,0.914439558982849,0.548203647136688,0.224198251962662,0.071906492114067,1.09867477416992
Mongolia,East Asia,5.45620012283325,0.040313236415386,5.53521394729614,5.37718629837036,9.41218662261963,0.937142491340637,62.3044853210449,0.693351328372955,0.098093867301941,0.863511204719543,1.97231674194336,0.90487277507782,1.45893061161041,0.615788161754608,0.355703115463257,0.263885736465454,0.04653312638402,1.81052756309509
Myanmar,Southeast Asia,4.30800008773804,0.042949214577675,4.39218044281006,4.22381973266602,8.68048191070557,0.784407019615173,58.9617118835449,0.89507520198822,0.560663998126984,0.645124316215515,1.97231674194336,0.678090929985046,1.09817826747894,0.495443075895309,0.597478866577148,0.56981372833252,0.187530353665352,0.681462526321411
